,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063,F064,F065,F066,F067,F068,F069,F070,F071,F072,F073,F074,F075,F076,F077,F078,F079,F080,F081,F082,F083,F084,F085,F086,F087,F088,F089,F090,F091,F092,F093,F094,F095,F096,F097,F098,F099,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145
5ggs_A,   0.00000,   0.00000,  39.00000,  35.80000,  68.00000,  62.40000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   7.30000,   9.00000,   8.30000,   7.00000,   6.40000,   1.00000,   0.90000,6474.10000, 322.00000,   0.00000,1763.00000, 521.00000,   0.00000,1156.00000, 650.00000,2061.00000,   0.38934,   0.38011,   0.26646,   0.36492,   0.46262,   0.44331,   0.10811,   0.47410,   0.50756,   0.48470,   0.00000,   0.12130,   0.25644,   0.53096,   0.21834,   0.33804,   0.55554,   0.42434,   0.34775,   0.22877,   0.23943,   0.47860,5070.58000,1684.35000,1602.05000, 607.41000,3468.53000,1076.94000,   2.00000,   2.00000,   5.00000,   5.00000,   0.00000,   4.00000,   3.00000,   8.00000,   0.00000,   0.00000,   1.00000,   7.00000,   1.00000,   2.00000,   2.00000,   6.00000,   5.00000,   1.00000,   1.00000,   6.00000,   4.00000,   3.00000,   1.00000,   1.00000,   2.00000,   1.00000,   1.00000,   2.00000,   0.00000,   1.00000,   4.00000,   0.00000,   3.00000,   4.00000,   1.00000,   2.00000,   5.00000,   2.00000,   8.00000,   3.00000,   0.01835,   0.01835,   0.04587,   0.04587,   0.00000,   0.03670,   0.02752,   0.07339,   0.00000,   0.00000,   0.00917,   0.06422,   0.00917,   0.01835,   0.01835,   0.05505,   0.04587,   0.00917,   0.00917,   0.05505,   0.03670,   0.02752,   0.00917,   0.00917,   0.01835,   0.00917,   0.00917,   0.01835,   0.00000,   0.00917,   0.03670,   0.00000,   0.02752,   0.03670,   0.00917,   0.01835,   0.04587,   0.01835,   0.07339,   0.02752
5ggq_H,   2.00000,   1.80000,  42.00000,  38.50000,  72.00000,  66.10000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   6.40000,  13.00000,  11.90000,   2.00000,   1.80000,   1.00000,   0.90000,6194.60000,   0.00000, 134.00000,1817.00000, 888.00000,   0.00000,1060.00000, 429.00000,1864.00000,   0.37358,   0.29992,   0.26022,   0.39890,   0.38790,   0.47687,   0.07581,   0.39280,   0.45356,   0.41617,   0.13364,   0.23894,   0.20033,   0.61122,   0.12912,   0.15376,   0.65015,   0.41352,   0.30512,   0.20920,   0.21966,   0.29415,4152.49000,1766.91000,1006.39000, 724.11000,3146.10000,1042.80000,   2.00000,   5.00000,   4.00000,   6.00000,   0.00000,   3.00000,   2.00000,   7.00000,   0.00000,   1.00000,   1.00000,   5.00000,   0.00000,   0.00000,   2.00000,   6.00000,   2.00000,   0.00000,   2.00000,   3.00000,   5.00000,   2.00000,   1.00000,   1.00000,   2.00000,   2.00000,   1.00000,   5.00000,   1.00000,   2.00000,   7.00000,   0.00000,   2.00000,   3.00000,   0.00000,   4.00000,   5.00000,   4.00000,   4.00000,   7.00000,   0.01835,   0.04587,   0.03670,   0.05505,   0.00000,   0.02752,   0.01835,   0.06422,   0.00000,   0.00917,   0.00917,   0.04587,   0.00000,   0.00000,   0.01835,   0.05505,   0.01835,   0.00000,   0.01835,   0.02752,   0.04587,   0.01835,   0.00917,   0.00917,   0.01835,   0.01835,   0.00917,   0.04587,   0.00917,   0.01835,   0.06422,   0.00000,   0.01835,   0.02752,   0.00000,   0.03670,   0.04587,   0.03670,   0.03670,   0.06422
5fhx_H,   0.00000,   0.00000,  41.00000,  37.30000,  62.00000,  56.40000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   3.00000,   2.70000,   0.00000,   0.00000,   0.00000,   0.00000,  10.00000,   9.10000,   6.00000,   5.50000,   3.00000,   2.70000,   2.00000,   1.80000,6965.20000,   0.00000,   0.00000,2489.00000, 220.00000,   0.00000,1458.00000, 848.00000,1953.00000,   0.41798,   0.39293,   0.40904,   0.44466,   0.62022,   0.47656,   0.11963,   0.49732,   0.52404,   0.53350,   0.15717,   0.12292,   0.31956,   0.45924,   0.11577,   0.30823,   0.60395,   0.43813,   0.36271,   0.15800,   0.35330,   0.38145,5907.56000,1298.69000,1635.20000, 509.04000,4272.36000, 789.65000,   3.00000,   5.00000,   2.00000,   4.00000,   0.00000,   6.00000,   6.00000,   8.00000,   0.00000,   0.00000,   2.00000,   5.00000,   0.00000,   2.00000,   4.00000,  11.00000,   4.00000,   0.00000,   4.00000,   4.00000,   3.00000,   1.00000,   0.00000,   1.00000,   2.00000,   2.00000,   0.00000,   1.00000,   1.00000,   5.00000,   5.00000,   0.00000,   2.00000,   2.00000,   1.00000,   2.00000,   4.00000,   3.00000,   4.00000,   1.00000,   0.02727,   0.04545,   0.01818,   0.03636,   0.00000,   0.05455,   0.05455,   0.07273,   0.00000,   0.00000,   0.01818,   0.04545,   0.00000,   0.01818,   0.03636,   0.10000,   0.03636,   0.00000,   0.03636,   0.03636,   0.02727,   0.00909,   0.00000,   0.00909,   0.01818,   0.01818,   0.00000,   0.00909,   0.00909,   0.04545,   0.04545,   0.00000,   0.01818,   0.01818,   0.00909,   0.01818,   0.03636,   0.02727,   0.03636,   0.00909
5fhb_H,   2.00000,   1.60000,  49.00000,  40.20000,  80.00000,  65.60000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   0.00000,   0.00000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,  10.00000,   8.20000,   9.00000,   7.40000,   3.00000,   2.50000,   1.00000,   0.80000,6871.40000,   0.00000,  37.00000,2517.00000, 268.00000,   0.00000,1471.00000, 789.00000,1791.00000,   0.38300,   0.35027,   0.44762,   0.38583,   0.30943,   0.41568,   0.07589,   0.45371,   0.31890,   0.47811,   0.00000,   0.08972,   0.34346,   0.59512,   0.14394,   0.16558,   0.52859,   0.36213,   0.37285,   0.15708,   0.28665,   0.21053,4941.12000,1633.26000,1480.56000, 549.23000,3460.56000,1084.03000,   2.00000,   3.00000,   1.00000,   4.00000,   0.00000,   3.00000,   2.00000,   7.00000,   0.00000,   0.00000,   4.00000,   3.00000,   0.00000,   0.00000,   5.00000,  12.00000,   5.00000,   0.00000,   2.00000,   2.00000,   2.00000,   2.00000,   1.00000,   0.00000,   2.00000,   3.00000,   1.00000,   3.00000,   0.00000,   4.00000,   6.00000,   0.00000,   1.00000,   1.00000,   1.00000,   6.00000,   5.00000,   4.00000,   7.00000,   6.00000,   0.01818,   0.02727,   0.00909,   0.03636,   0.00000,   0.02727,   0.01818,   0.06364,   0.00000,   0.00000,   0.03636,   0.02727,   0.00000,   0.00000,   0.04545,   0.10909,   0.04545,   0.00000,   0.01818,   0.01818,   0.01818,   0.01818,   0.00909,   0.00000,   0.01818,   0.02727,   0.00909,   0.02727,   0.00000,   0.03636,   0.05455,   0.00000,   0.00909,   0.00909,   0.00909,   0.05455,   0.04545,   0.03636,   0.06364,   0.05455
5fha_H,   2.00000,   1.70000,  47.00000,  40.50000,  81.00000,  69.80000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.70000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,   9.50000,  12.00000,  10.30000,   2.00000,   1.70000,   1.00000,   0.90000,6237.00000,   0.00000,  32.00000,2053.00000, 708.00000,   0.00000,1237.00000, 395.00000,1811.00000,   0.34723,   0.33811,   0.40636,   0.38265,   0.32688,   0.47295,   0.08289,   0.37921,   0.48813,   0.41047,   0.12549,   0.26840,   0.21780,   0.63116,   0.39576,   0.29873,   0.43773,   0.28084,   0.33982,   0.18207,   0.19913,   0.23173,4215.99000,1674.60000,1535.36000, 653.14000,2680.63000,1021.46000,   6.00000,   5.00000,   1.00000,   5.00000,   0.00000,   3.00000,   3.00000,   9.00000,   0.00000,   1.00000,   2.00000,   3.00000,   2.00000,   1.00000,   2.00000,   4.00000,   3.00000,   0.00000,   1.00000,   2.00000,   4.00000,   3.00000,   1.00000,   2.00000,   2.00000,   2.00000,   1.00000,   4.00000,   1.00000,   3.00000,   7.00000,   0.00000,   1.00000,   1.00000,   0.00000,   8.00000,   2.00000,   3.00000,   4.00000,   8.00000,   0.05455,   0.04545,   0.00909,   0.04545,   0.00000,   0.02727,   0.02727,   0.08182,   0.00000,   0.00909,   0.01818,   0.02727,   0.01818,   0.00909,   0.01818,   0.03636,   0.02727,   0.00000,   0.00909,   0.01818,   0.03636,   0.02727,   0.00909,   0.01818,   0.01818,   0.01818,   0.00909,   0.03636,   0.00909,   0.02727,   0.06364,   0.00000,   0.00909,   0.00909,   0.00000,   0.07273,   0.01818,   0.02727,   0.03636,   0.07273
5fgc_E,   2.00000,   1.80000,  40.00000,  36.40000,  62.00000,  56.40000,   0.00000,   0.00000,   1.00000,   0.90000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   6.00000,   5.50000,   9.00000,   8.20000,   2.00000,   1.80000,   1.00000,   0.90000,7173.80000,   0.00000, 118.00000,2186.00000, 424.00000,   0.00000, 930.00000,1145.00000,2375.00000,   0.44029,   0.40146,   0.37641,   0.35188,   0.37478,   0.61272,   0.11963,   0.41392,   0.60155,   0.58950,   0.00000,   0.14556,   0.30045,   0.66245,   0.13314,   0.38217,   0.72007,   0.40712,   0.45429,   0.20038,   0.40613,   0.38783,5820.42000,1462.46000,1766.79000, 533.63000,4053.63000, 928.83000,   7.00000,   4.00000,   2.00000,   5.00000,   0.00000,   2.00000,   5.00000,   9.00000,   0.00000,   0.00000,   2.00000,   4.00000,   0.00000,   2.00000,   2.00000,   6.00000,   7.00000,   0.00000,   5.00000,   4.00000,   5.00000,   1.00000,   2.00000,   0.00000,   2.00000,   2.00000,   0.00000,   0.00000,   0.00000,   2.00000,   6.00000,   0.00000,   2.00000,   2.00000,   0.00000,   8.00000,   2.00000,   2.00000,   5.00000,   3.00000,   0.06364,   0.03636,   0.01818,   0.04545,   0.00000,   0.01818,   0.04545,   0.08182,   0.00000,   0.00000,   0.01818,   0.03636,   0.00000,   0.01818,   0.01818,   0.05455,   0.06364,   0.00000,   0.04545,   0.03636,   0.04545,   0.00909,   0.01818,   0.00000,   0.01818,   0.01818,   0.00000,   0.00000,   0.00000,   0.01818,   0.05455,   0.00000,   0.01818,   0.01818,   0.00000,   0.07273,   0.01818,   0.01818,   0.04545,   0.02727
5f9o_H,   0.00000,   0.00000,  43.00000,  39.10000,  64.00000,  58.20000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   5.00000,   4.50000,  11.00000,  10.00000,   2.00000,   1.80000,   1.00000,   0.90000,6431.10000,   0.00000,   0.00000,2446.00000, 772.00000,   0.00000, 736.00000, 632.00000,1844.00000,   0.39058,   0.42142,   0.48507,   0.43025,   0.36567,   0.44314,   0.11511,   0.60113,   0.40191,   0.60401,   0.37304,   0.11905,   0.29532,   0.54364,   0.25717,   0.27893,   0.51338,   0.41632,   0.40917,   0.11158,   0.28412,   0.35266,5211.10000,1578.71000,2010.15000, 598.32000,3200.95000, 980.39000,   5.00000,   7.00000,   2.00000,   6.00000,   0.00000,   3.00000,   1.00000,  13.00000,   1.00000,   0.00000,   4.00000,   2.00000,   2.00000,   1.00000,   2.00000,   5.00000,   3.00000,   0.00000,   3.00000,   3.00000,   2.00000,   2.00000,   2.00000,   2.00000,   2.00000,   1.00000,   0.00000,   2.00000,   1.00000,   3.00000,   5.00000,   0.00000,   4.00000,   1.00000,   1.00000,   4.00000,   2.00000,   2.00000,   7.00000,   4.00000,   0.04545,   0.06364,   0.01818,   0.05455,   0.00000,   0.02727,   0.00909,   0.11818,   0.00909,   0.00000,   0.03636,   0.01818,   0.01818,   0.00909,   0.01818,   0.04545,   0.02727,   0.00000,   0.02727,   0.02727,   0.01818,   0.01818,   0.01818,   0.01818,   0.01818,   0.00909,   0.00000,   0.01818,   0.00909,   0.02727,   0.04545,   0.00000,   0.03636,   0.00909,   0.00909,   0.03636,   0.01818,   0.01818,   0.06364,   0.03636
5f96_H,   2.00000,   1.70000,  50.00000,  42.00000,  79.00000,  66.40000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   1.00000,   0.80000,   2.00000,   1.70000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   5.90000,  11.00000,   9.20000,   3.00000,   2.50000,   2.00000,   1.70000,6543.90000,   0.00000,  25.00000,2471.00000,1107.00000,   0.00000, 787.00000, 534.00000,1622.00000,   0.41142,   0.36996,   0.42868,   0.39321,   0.45397,   0.39786,   0.07752,   0.56697,   0.43739,   0.43290,   0.25302,   0.16550,   0.29927,   0.48876,   0.25959,   0.25008,   0.46324,   0.35568,   0.40465,   0.16842,   0.24739,   0.27145,4953.06000,1677.49000,1607.60000, 720.01000,3345.45000, 957.48000,   5.00000,   6.00000,   2.00000,   7.00000,   0.00000,   2.00000,   3.00000,   8.00000,   1.00000,   1.00000,   3.00000,   2.00000,   1.00000,   1.00000,   2.00000,   3.00000,   3.00000,   0.00000,   3.00000,   2.00000,   4.00000,   3.00000,   1.00000,   1.00000,   2.00000,   2.00000,   0.00000,   6.00000,   1.00000,   2.00000,   6.00000,   0.00000,   3.00000,   2.00000,   1.00000,   3.00000,   3.00000,   2.00000,   8.00000,   5.00000,   0.04545,   0.05455,   0.01818,   0.06364,   0.00000,   0.01818,   0.02727,   0.07273,   0.00909,   0.00909,   0.02727,   0.01818,   0.00909,   0.00909,   0.01818,   0.02727,   0.02727,   0.00000,   0.02727,   0.01818,   0.03636,   0.02727,   0.00909,   0.00909,   0.01818,   0.01818,   0.00000,   0.05455,   0.00909,   0.01818,   0.05455,   0.00000,   0.02727,   0.01818,   0.00909,   0.02727,   0.02727,   0.01818,   0.07273,   0.04545
5f7e_H,   2.00000,   1.70000,  45.00000,  38.80000,  75.00000,  64.70000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   3.00000,   2.60000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   7.80000,  12.00000,  10.30000,   3.00000,   2.60000,   1.00000,   0.90000,6072.30000,   0.00000,  53.00000,1851.00000, 730.00000,   0.00000,1086.00000, 523.00000,1834.00000,   0.38004,   0.30514,   0.25828,   0.38784,   0.39450,   0.63589,   0.07426,   0.54810,   0.32361,   0.43789,   0.12630,   0.07728,   0.22711,   0.52568,   0.11193,   0.32815,   0.64162,   0.34914,   0.31776,   0.30068,   0.22387,   0.24762,4731.43000,1683.07000,1202.74000, 628.65000,3528.71000,1054.42000,   3.00000,   5.00000,   3.00000,   5.00000,   0.00000,   5.00000,   2.00000,   9.00000,   0.00000,   0.00000,   1.00000,   5.00000,   0.00000,   1.00000,   2.00000,   5.00000,   5.00000,   1.00000,   1.00000,   2.00000,   5.00000,   3.00000,   0.00000,   0.00000,   2.00000,   2.00000,   2.00000,   3.00000,   1.00000,   1.00000,   5.00000,   0.00000,   4.00000,   2.00000,   0.00000,   4.00000,   4.00000,   4.00000,   6.00000,   7.00000,   0.02727,   0.04545,   0.02727,   0.04545,   0.00000,   0.04545,   0.01818,   0.08182,   0.00000,   0.00000,   0.00909,   0.04545,   0.00000,   0.00909,   0.01818,   0.04545,   0.04545,   0.00909,   0.00909,   0.01818,   0.04545,   0.02727,   0.00000,   0.00000,   0.01818,   0.01818,   0.01818,   0.02727,   0.00909,   0.00909,   0.04545,   0.00000,   0.03636,   0.01818,   0.00000,   0.03636,   0.03636,   0.03636,   0.05455,   0.06364
5f6i_B,   0.00000,   0.00000,  42.00000,  38.50000,  65.00000,  59.60000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   6.00000,   5.50000,   8.00000,   7.30000,   3.00000,   2.80000,   1.00000,   0.90000,6162.90000,   0.00000,   0.00000,2041.00000, 373.00000,   0.00000,1105.00000,1147.00000,1501.00000,   0.36543,   0.37040,   0.30920,   0.37364,   0.34514,   0.48535,   0.09211,   0.41154,   0.41010,   0.49852,   0.00000,   0.16237,   0.28685,   0.60187,   0.10128,   0.28834,   0.69216,   0.33452,   0.38149,   0.33308,   0.26700,   0.31016,4321.18000,1821.19000,1476.95000, 670.89000,2844.23000,1150.30000,   2.00000,   3.00000,   2.00000,   4.00000,   0.00000,   3.00000,   2.00000,  12.00000,   0.00000,   0.00000,   2.00000,   3.00000,   0.00000,   1.00000,   3.00000,   7.00000,   5.00000,   1.00000,   2.00000,   3.00000,   4.00000,   2.00000,   1.00000,   0.00000,   2.00000,   2.00000,   2.00000,   3.00000,   0.00000,   4.00000,   6.00000,   1.00000,   1.00000,   3.00000,   0.00000,   8.00000,   2.00000,   3.00000,   6.00000,   4.00000,   0.01835,   0.02752,   0.01835,   0.03670,   0.00000,   0.02752,   0.01835,   0.11009,   0.00000,   0.00000,   0.01835,   0.02752,   0.00000,   0.00917,   0.02752,   0.06422,   0.04587,   0.00917,   0.01835,   0.02752,   0.03670,   0.01835,   0.00917,   0.00000,   0.01835,   0.01835,   0.01835,   0.02752,   0.00000,   0.03670,   0.05505,   0.00917,   0.00917,   0.02752,   0.00000,   0.07339,   0.01835,   0.02752,   0.05505,   0.03670
5ezj_A,   0.00000,   0.00000,  35.00000,  36.50000,  61.00000,  63.50000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000,   2.00000,   2.10000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   8.30000,  12.00000,  12.50000,   2.00000,   2.10000,   1.00000,   1.00000,5894.10000,   0.00000,   0.00000,2005.00000, 938.00000,   0.00000, 776.00000, 679.00000,1496.00000,   0.39089,   0.37806,   0.34868,   0.40534,   0.46058,   0.45201,   0.16152,   0.40658,   0.42304,   0.53240,   0.00000,   0.15056,   0.31531,   0.55549,   0.16072,   0.27802,   0.64257,   0.36593,   0.38676,   0.23266,   0.23527,   0.38204,4250.87000,1439.13000,1449.78000, 548.87000,2801.09000, 890.26000,   2.00000,   2.00000,   4.00000,   4.00000,   0.00000,   2.00000,   3.00000,   9.00000,   0.00000,   0.00000,   4.00000,   6.00000,   0.00000,   1.00000,   4.00000,   7.00000,   3.00000,   0.00000,   1.00000,   2.00000,   4.00000,   1.00000,   2.00000,   0.00000,   2.00000,   2.00000,   1.00000,   1.00000,   0.00000,   5.00000,   5.00000,   0.00000,   2.00000,   2.00000,   0.00000,   6.00000,   1.00000,   3.00000,   4.00000,   1.00000,   0.02083,   0.02083,   0.04167,   0.04167,   0.00000,   0.02083,   0.03125,   0.09375,   0.00000,   0.00000,   0.04167,   0.06250,   0.00000,   0.01042,   0.04167,   0.07292,   0.03125,   0.00000,   0.01042,   0.02083,   0.04167,   0.01042,   0.02083,   0.00000,   0.02083,   0.02083,   0.01042,   0.01042,   0.00000,   0.05208,   0.05208,   0.00000,   0.02083,   0.02083,   0.00000,   0.06250,   0.01042,   0.03125,   0.04167,   0.01042
5ezi_H,   0.00000,   0.00000,  35.00000,  36.50000,  56.00000,  58.30000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000,   2.00000,   2.10000,   0.00000,   0.00000,   0.00000,   0.00000,   4.00000,   4.20000,  11.00000,  11.50000,   2.00000,   2.10000,   1.00000,   1.00000,5841.50000,   0.00000,   0.00000,2046.00000, 610.00000,   0.00000,1047.00000, 727.00000,1417.00000,   0.39625,   0.38661,   0.35683,   0.41062,   0.46817,   0.45727,   0.16407,   0.41298,   0.42313,   0.54493,   0.00000,   0.15382,   0.32427,   0.55791,   0.16630,   0.28876,   0.64850,   0.37727,   0.39173,   0.23755,   0.23941,   0.38897,4429.58000,1353.43000,1558.13000, 486.82000,2871.45000, 866.61000,   3.00000,   2.00000,   5.00000,   4.00000,   0.00000,   2.00000,   3.00000,   9.00000,   0.00000,   0.00000,   5.00000,   6.00000,   0.00000,   1.00000,   4.00000,   7.00000,   3.00000,   0.00000,   1.00000,   2.00000,   3.00000,   1.00000,   1.00000,   0.00000,   2.00000,   2.00000,   1.00000,   1.00000,   0.00000,   5.00000,   4.00000,   0.00000,   2.00000,   2.00000,   0.00000,   6.00000,   1.00000,   3.00000,   4.00000,   1.00000,   0.03125,   0.02083,   0.05208,   0.04167,   0.00000,   0.02083,   0.03125,   0.09375,   0.00000,   0.00000,   0.05208,   0.06250,   0.00000,   0.01042,   0.04167,   0.07292,   0.03125,   0.00000,   0.01042,   0.02083,   0.03125,   0.01042,   0.01042,   0.00000,   0.02083,   0.02083,   0.01042,   0.01042,   0.00000,   0.05208,   0.04167,   0.00000,   0.02083,   0.02083,   0.00000,   0.06250,   0.01042,   0.03125,   0.04167,   0.01042
5ewi_H,   2.00000,   1.70000,  48.00000,  39.70000,  77.00000,  63.60000,   0.00000,   0.00000,   1.00000,   0.80000,   1.00000,   0.80000,   1.00000,   0.80000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   5.80000,  12.00000,   9.90000,   3.00000,   2.50000,   1.00000,   0.80000,6959.30000,   0.00000, 147.00000,2355.00000, 525.00000,   0.00000,1459.00000, 241.00000,2230.00000,   0.39217,   0.33398,   0.57550,   0.39948,   0.24522,   0.41861,   0.07000,   0.34927,   0.46127,   0.41445,   0.14766,   0.21867,   0.26301,   0.63260,   0.54248,   0.11236,   0.39180,   0.27932,   0.32278,   0.40469,   0.20368,   0.23952,4858.87000,1672.45000,1473.66000, 608.86000,3385.22000,1063.59000,   2.00000,   5.00000,   0.00000,   5.00000,   0.00000,   2.00000,   4.00000,  12.00000,   0.00000,   1.00000,   2.00000,   4.00000,   1.00000,   0.00000,   1.00000,   3.00000,   4.00000,   1.00000,   1.00000,   4.00000,   1.00000,   2.00000,   2.00000,   1.00000,   2.00000,   2.00000,   2.00000,   7.00000,   1.00000,   1.00000,   4.00000,   0.00000,   1.00000,   2.00000,   1.00000,   9.00000,   3.00000,   3.00000,   3.00000,  11.00000,   0.01818,   0.04545,   0.00000,   0.04545,   0.00000,   0.01818,   0.03636,   0.10909,   0.00000,   0.00909,   0.01818,   0.03636,   0.00909,   0.00000,   0.00909,   0.02727,   0.03636,   0.00909,   0.00909,   0.03636,   0.00909,   0.01818,   0.01818,   0.00909,   0.01818,   0.01818,   0.01818,   0.06364,   0.00909,   0.00909,   0.03636,   0.00000,   0.00909,   0.01818,   0.00909,   0.08182,   0.02727,   0.02727,   0.02727,   0.10000
5eii_H,   4.00000,   3.60000,  40.00000,  36.40000,  70.00000,  63.60000,   0.00000,   0.00000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   8.20000,  10.00000,   9.10000,   3.00000,   2.70000,   2.00000,   1.80000,6349.30000,   0.00000,  78.00000,2041.00000, 699.00000,   0.00000, 877.00000, 669.00000,1982.00000,   0.37684,   0.37779,   0.34771,   0.39263,   0.32359,   0.52808,   0.12929,   0.38503,   0.62577,   0.55160,   0.15826,   0.10964,   0.32014,   0.69863,   0.15335,   0.26848,   0.72695,   0.31000,   0.34173,   0.36148,   0.31686,   0.33060,5055.60000,1430.88000,1560.80000, 493.77000,3494.80000, 937.11000,   7.00000,   6.00000,   3.00000,   4.00000,   0.00000,   2.00000,   4.00000,  10.00000,   0.00000,   0.00000,   2.00000,   3.00000,   0.00000,   1.00000,   2.00000,   7.00000,   3.00000,   2.00000,   4.00000,   4.00000,   5.00000,   0.00000,   0.00000,   0.00000,   2.00000,   3.00000,   0.00000,   1.00000,   1.00000,   4.00000,   5.00000,   0.00000,   1.00000,   1.00000,   0.00000,  10.00000,   2.00000,   3.00000,   5.00000,   3.00000,   0.06364,   0.05455,   0.02727,   0.03636,   0.00000,   0.01818,   0.03636,   0.09091,   0.00000,   0.00000,   0.01818,   0.02727,   0.00000,   0.00909,   0.01818,   0.06364,   0.02727,   0.01818,   0.03636,   0.03636,   0.04545,   0.00000,   0.00000,   0.00000,   0.01818,   0.02727,   0.00000,   0.00909,   0.00909,   0.03636,   0.04545,   0.00000,   0.00909,   0.00909,   0.00000,   0.09091,   0.01818,   0.02727,   0.04545,   0.02727
5eii_A,   2.00000,   1.80000,  40.00000,  36.70000,  70.00000,  64.20000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,  10.10000,   9.00000,   8.30000,   4.00000,   3.70000,   2.00000,   1.80000,6302.10000,   0.00000,  28.00000,2032.00000, 548.00000,   0.00000,1278.00000, 657.00000,1767.00000,   0.35899,   0.38447,   0.34661,   0.38833,   0.32306,   0.50397,   0.12749,   0.37636,   0.50132,   0.55075,   0.16234,   0.10677,   0.31806,   0.70000,   0.14968,   0.28612,   0.72291,   0.30558,   0.33669,   0.34319,   0.31159,   0.37809,4637.58000,1607.04000,1575.64000, 524.78000,3061.94000,1082.26000,   6.00000,   5.00000,   2.00000,   4.00000,   0.00000,   2.00000,   3.00000,  10.00000,   0.00000,   0.00000,   2.00000,   3.00000,   0.00000,   1.00000,   2.00000,   6.00000,   3.00000,   2.00000,   4.00000,   4.00000,   6.00000,   1.00000,   1.00000,   0.00000,   2.00000,   3.00000,   0.00000,   1.00000,   1.00000,   4.00000,   5.00000,   0.00000,   1.00000,   1.00000,   0.00000,  11.00000,   2.00000,   3.00000,   5.00000,   3.00000,   0.05505,   0.04587,   0.01835,   0.03670,   0.00000,   0.01835,   0.02752,   0.09174,   0.00000,   0.00000,   0.01835,   0.02752,   0.00000,   0.00917,   0.01835,   0.05505,   0.02752,   0.01835,   0.03670,   0.03670,   0.05505,   0.00917,   0.00917,   0.00000,   0.01835,   0.02752,   0.00000,   0.00917,   0.00917,   0.03670,   0.04587,   0.00000,   0.00917,   0.00917,   0.00000,   0.10092,   0.01835,   0.02752,   0.04587,   0.02752
