pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
3x3g	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/20/15	Fab fragment from anti TRAIL-R2 Human Agonist Antibody KMTR2	HOMO SAPIENS	homo sapiens	homo sapiens		Tamada, T.	2.51	X-RAY DIFFRACTION	0.224	0.186	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
4i2x	D	C	0	F	protein	NA	signal-regulatory protein gamma	IMMUNE SYSTEM	11/23/12	Crystal structure of Signal Regulatory Protein gamma (SIRP-gamma) in complex with FabOX117	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Nettleship, J.E., Ren, J., Stuart, D.I., Owens, R.J., Oxford Protein Production Facility (OPPF)	2.48	X-RAY DIFFRACTION	0.260	0.196	False	False	IGHV1	IGKV6	Kappa	None	None	None	None	None
4i2x	B	A	0	E	protein	NA	signal-regulatory protein gamma	IMMUNE SYSTEM	11/23/12	Crystal structure of Signal Regulatory Protein gamma (SIRP-gamma) in complex with FabOX117	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Nettleship, J.E., Ren, J., Stuart, D.I., Owens, R.J., Oxford Protein Production Facility (OPPF)	2.48	X-RAY DIFFRACTION	0.260	0.196	False	False	IGHV1	IGKV6	Kappa	None	None	None	None	None
1n0x	H	L	0	P	peptide	NA	b2.1 peptide	IMMUNE SYSTEM	10/15/02	Crystal Structure of a Broadly Neutralizing Anti-HIV-1 Antibody in Complex with a Peptide Mimotope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Saphire, E.O., Montero, M., Menendez, A., Irving, M.B., Zwick, M.B., Parren, P.W.H.I., Burton, D.R., Scott, J.K., Wilson, I.A.	1.8	X-RAY DIFFRACTION	0.252	0.220	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
1n0x	K	M	0	R	peptide	NA	b2.1 peptide	IMMUNE SYSTEM	10/15/02	Crystal Structure of a Broadly Neutralizing Anti-HIV-1 Antibody in Complex with a Peptide Mimotope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Saphire, E.O., Montero, M., Menendez, A., Irving, M.B., Zwick, M.B., Parren, P.W.H.I., Burton, D.R., Scott, J.K., Wilson, I.A.	1.8	X-RAY DIFFRACTION	0.252	0.220	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
5veb	H	L	0	Y	protein	NA	cadherin-6	IMMUNE SYSTEM	04/04/17	Crystal structure of a Fab binding to extracellular domain 5 of Cadherin-6	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Zhu, X., Bialucha, C.U., London, A., Clark, K., Hu, T.	2.34	X-RAY DIFFRACTION	0.252	0.212	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
5veb	A	B	0	X	protein	NA	cadherin-6	IMMUNE SYSTEM	04/04/17	Crystal structure of a Fab binding to extracellular domain 5 of Cadherin-6	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Zhu, X., Bialucha, C.U., London, A., Clark, K., Hu, T.	2.34	X-RAY DIFFRACTION	0.252	0.212	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
1cly	H	L	0	H	carbohydrate	FUC	polysaccharide	IMMUNOGLOBULIN	03/15/95	IGG FAB (HUMAN IGG1, KAPPA) CHIMERIC FRAGMENT (CBR96) COMPLEXED WITH LEWIS Y NONOATE METHYL ESTER	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Sheriff, S., Bajorath, J.	2.5	X-RAY DIFFRACTION	0.298	0.238	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
3go1	H	L	0	P	peptide	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	03/18/09	Crystal structure of anti-HIV-1 Fab 268-D in complex with V3 peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Kong, X.P., Burke, V.J.	1.89	X-RAY DIFFRACTION	0.213	0.191	False	False	IGHV4	IGLV3	Lambda	None	None	None	None	None
3k2u	H	L	0	A	protein	NA	hepatocyte growth factor activator long chain	HYDROLASE/IMMUNE SYSTEM	09/30/09	Crystal structure of HGFA in complex with the allosteric inhibitory antibody Fab40	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Ganesan, R., Eigenbrot, C., Shia, S.	2.35	X-RAY DIFFRACTION	0.290	0.239	False	True	IGHV3	IGKV1	Kappa	1.60E-10	-13.36	SPR	25	20004165
4x0k	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/21/14	Engineered Fab fragment specific for EYMPME (EE) peptide	HOMO SAPIENS	homo sapiens	homo sapiens		Johnson, J.L., Lieberman, R.L.	2.04	X-RAY DIFFRACTION	0.207	0.165	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4x0k	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/21/14	Engineered Fab fragment specific for EYMPME (EE) peptide	HOMO SAPIENS	homo sapiens	homo sapiens		Johnson, J.L., Lieberman, R.L.	2.04	X-RAY DIFFRACTION	0.207	0.165	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
1ol0	B	NA	0	NA	NA	NA	NA	IMMUNOGLOBULIN	08/02/03	Crystal structure of a camelised human VH	HOMO SAPIENS	homo sapiens			Dottorini, T., K Vaughan, C., Walsh, M.A., Losurdo, P., Sollazzo, M.	1.8	X-RAY DIFFRACTION	0.18015	0.15449	False	True	IGHV3	NA	NA	None	None	None	None	None
1ol0	A	NA	0	NA	NA	NA	NA	IMMUNOGLOBULIN	08/02/03	Crystal structure of a camelised human VH	HOMO SAPIENS	homo sapiens			Dottorini, T., K Vaughan, C., Walsh, M.A., Losurdo, P., Sollazzo, M.	1.8	X-RAY DIFFRACTION	0.18015	0.15449	False	True	IGHV3	NA	NA	None	None	None	None	None
4wy7	H	L	0	P	peptide	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	11/16/14	Crystal structure of recombinant 4E10 expressed in Escherichia coli with epitope bound	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 GROUP M SUBTYPE B	homo sapiens	homo sapiens	human immunodeficiency virus type 1 group msubtype b 	Rujas, E., Morante, K., Tsumoto, K., Nieva, J.L., Caaveiro, J.M.M.	2.1	X-RAY DIFFRACTION	0.207	0.162	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
3eo9	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/26/08	Crystal structure the Fab fragment of Efalizumab	HOMO SAPIENS	homo sapiens	homo sapiens		Li, S., Ding, J.	1.8	X-RAY DIFFRACTION	0.217	0.189	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4nwt	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/06/13	Crystal structure of the anti-human NGF Fab APE1531	HOMO SAPIENS	homo sapiens	homo sapiens		Verdino, P., Stanfield, R.L., Wilson, I.A.	1.75	X-RAY DIFFRACTION	0.181	0.150	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
3n9g	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/29/10	Crystal structure of the Fab fragment of the human neutralizing anti-West Nile Virus MAb CR4354	HOMO SAPIENS	homo sapiens	homo sapiens		Kaufmann, B., Rossmann, M.G.	1.434	X-RAY DIFFRACTION	0.186	0.167	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
5uxq	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/23/17	Structure of anti-HIV trimer apex antibody PGT143	HOMO SAPIENS	homo sapiens	homo sapiens		Kong, L., Wilson, I.A.	2.415	X-RAY DIFFRACTION	0.267	0.229	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
5uxq	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/23/17	Structure of anti-HIV trimer apex antibody PGT143	HOMO SAPIENS	homo sapiens	homo sapiens		Kong, L., Wilson, I.A.	2.415	X-RAY DIFFRACTION	0.267	0.229	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
4toy	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/06/14	Structure of 35O22 Fab, a HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Pancera, M., Kwong, P.D.	1.551	X-RAY DIFFRACTION	0.182	0.167	False	True	unknown	unknown	unknown	None	None	None	None	None
3eyf	B	A	0	E	peptide	NA	synthetic peptide	IMMUNE SYSTEM	10/20/08	Crystal structure of anti-human cytomegalovirus antibody 8f9 plus gB peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Thomson, C.A., Bryson, S., McLean, G.R., Creagh, A.L., Pai, E.F., Schrader, J.W.	2.3	X-RAY DIFFRACTION	0.230	0.210	False	True	IGHV3	IGKV3	Kappa	9.40E-08	-9.3	ITC	24	18772881
3eyf	D	C	0	F	peptide	NA	synthetic peptide	IMMUNE SYSTEM	10/20/08	Crystal structure of anti-human cytomegalovirus antibody 8f9 plus gB peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Thomson, C.A., Bryson, S., McLean, G.R., Creagh, A.L., Pai, E.F., Schrader, J.W.	2.3	X-RAY DIFFRACTION	0.230	0.210	False	True	IGHV3	IGKV3	Kappa	9.40E-08	-9.3	ITC	24	18772881
3eyo	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/21/08	Crystal structure of anti-human cytomegalovirus antibody 8F9	HOMO SAPIENS	homo sapiens	homo sapiens		Thomson, C.A., Bryson, S., McLean, G.R., Creagh, A.L., Pai, E.F., Schrader, J.W.	2.5	X-RAY DIFFRACTION	0.268	0.241	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
3eyo	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/21/08	Crystal structure of anti-human cytomegalovirus antibody 8F9	HOMO SAPIENS	homo sapiens	homo sapiens		Thomson, C.A., Bryson, S., McLean, G.R., Creagh, A.L., Pai, E.F., Schrader, J.W.	2.5	X-RAY DIFFRACTION	0.268	0.241	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
3eyq	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/21/08	Crystal structure of MJ5 Fab, a germline antibody variant of anti-human cytomegalovirus antibody 8f9	HOMO SAPIENS	homo sapiens	homo sapiens		Thomson, C.A., Bryson, S., McLean, G.R., Creagh, A.L., Pai, E.F., Schrader, J.W.	2.4	X-RAY DIFFRACTION	0.270	0.250	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
4dqo	H	L	0	C	protein	NA	1fd6-v1v2 scaffold zm109 hiv-1 strain	IMMUNE SYSTEM	02/16/12	Crystal Structure of PG16 Fab in Complex with V1V2 Region from HIV-1 strain ZM109	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Pancera, M., McLellan, J.S., Kwong, P.D.	2.438	X-RAY DIFFRACTION	0.230	0.201	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
3mod	H	L	0	P	peptide	NA	gp41 mper-derived peptide	IMMUNE SYSTEM	04/22/10	Crystal structure of the neutralizing HIV antibody 2F5 Fab fragment (recombinantly produced IgG) with 11 aa gp41 MPER-derived peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens		homo sapiens	Nicely, N.I., Dennison, S.M., Kelsoe, G., Liao, H.-X., Alam, S.M., Haynes, B.F.	2.2	X-RAY DIFFRACTION	0.214	0.184	False	True	IGHV2	IGKV1	Kappa	None	None	None	None	None
3moa	H	L	0	P	peptide	NA	gp41 mper-derived peptide	IMMUNE SYSTEM	04/22/10	Crystal structure of the neutralizing HIV antibody 2F5 Fab fragment (recombinantly produced Fab) with 17 aa gp41 MPER-derived peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Nicely, N.I., Dennison, S.M., Kelsoe, G., Liao, H.-X., Alam, S.M., Haynes, B.F.	2.3	X-RAY DIFFRACTION	0.219	0.184	False	True	IGHV2	IGKV1	Kappa	None	None	None	None	None
3qrg	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/17/11	Crystal structure of antiRSVF Fab B21m	HOMO SAPIENS	homo sapiens	homo sapiens		Luo, J., Tsui, P., Lewandowski, F., Spurlino, J., Vecchio, F.D.	1.699	X-RAY DIFFRACTION	0.185	0.161	False	True	IGHV2	IGKV4	Kappa	None	None	None	None	None
2d7t	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/29/05	Crystal structure of human anti polyhydroxybutyrate antibody Fv	HOMO SAPIENS	homo sapiens	homo sapiens		Watanabe, H.	1.7	X-RAY DIFFRACTION	0.214	0.190	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
1tji	H	L	0	P	peptide	NA	envelope glycoprotein gp41	Viral protein/Immune system	06/04/04	Crystal Structure of the broadly neutralizing anti-HIV-1 antibody 2F5 in complex with a gp41 17mer epitope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Ofek, G., Tang, M., Sambor, A., Katinger, H., Mascola, J.R., Wyatt, R., Kwong, P.D.	2.2	X-RAY DIFFRACTION	0.221	0.183	False	True	IGHV2	IGKV1	Kappa	None	None	None	None	None
1tjh	H	L	0	P	peptide	NA	envelope glycoprotein gp41	Viral protein/Immune system	06/04/04	Crystal Structure of the broadly neutralizing anti-HIV-1 antibody 2F5 in complex with a gp41 11mer epitope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Ofek, G., Tang, M., Sambor, A., Katinger, H., Mascola, J.R., Wyatt, R., Kwong, P.D.	2.1	X-RAY DIFFRACTION	0.233	0.200	False	True	IGHV2	IGKV1	Kappa	None	None	None	None	None
1tjg	H	L	0	P	peptide	NA	envelope glycoprotein gp41	Viral protein/Immune system	06/04/04	Crystal Structure of the broadly neutralizing anti-HIV-1 antibody 2F5 in complex with a gp41 7mer epitope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Ofek, G., Tang, M., Sambor, A., Katinger, H., Mascola, J.R., Wyatt, R., Kwong, P.D.	2.0	X-RAY DIFFRACTION	0.225	0.198	False	True	IGHV2	IGKV1	Kappa	None	None	None	None	None
4lsu	H	L	0	G	protein	NA	hiv-1 clade a/e strain 93th057 gp120	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC-PG20 in complex with HIV-1 clade A/E 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.3	X-RAY DIFFRACTION	0.234	0.179	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
4lst	H	L	0	G	protein	NA	envelope glycoprotein gp120 of hiv-1 clade c	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 clade C strain ZM176.66 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.55	X-RAY DIFFRACTION	0.239	0.190	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
4lsq	H	L	0	G	protein	NA	envelope glycoprotein gp120 with loop d and v5 from strain3415_v1_c1 	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC-CH31 in complex with HIV-1 clade A/E gp120 93TH057 with LOOP D and Loop V5 from clade A strain 3415_v1_c1	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.25	X-RAY DIFFRACTION	0.229	0.192	False	True	unknown	IGKV1	Kappa	None	None	None
4lsp	H	L	0	G	protein	NA	hiv-1 clade a/e strain 93th057 gp120	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC-CH31 in complex with HIV-1 clade A/E gp120 93TH057	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.15	X-RAY DIFFRACTION	0.214	0.180	False	True	unknown	IGKV1	Kappa	None	None	None
4lss	H	L	0	G	protein	NA	envelope glycoprotein gp120	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 clade A strain KER_2018_11 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.59	X-RAY DIFFRACTION	0.263	0.192	False	True	unknown	IGKV3	Kappa	None	None	None
4lsr	H	L	0	G	protein	NA	envelope glycoprotein gp120 with loop d and v5 from strainker_2018_11 	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC-CH31 in complex with HIV-1 clade A/E stran 93TH057 gp120 with LOOP D and Loop V5 from clade A strain KER_2018_11	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.28	X-RAY DIFFRACTION	0.258	0.194	False	True	unknown	IGKV1	Kappa	None	None	None
1jps	H	L	0	T	protein	NA	tissue factor	IMMUNE SYSTEM	08/03/01	Crystal structure of tissue factor in complex with humanized Fab D3h44	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Faelber, K., Kirchhofer, D., Presta, L., Kelley, R.F., Muller, Y.A.	1.85	X-RAY DIFFRACTION	0.224	0.201	False	True	IGHV3	IGKV1	Kappa	1.00E-10	-13.63	SPR	25	11307801
5ghw	H	L	0	P	peptide	NA	endogenous retrovirus group k member 8 env polyprotein	IMMUNE SYSTEM	06/21/16	Crystal structure of broad neutralizing antibody 10E8 with long epitope bound	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Caaveiro, J.M.M., Rujas, E., Morante, K., Nieva, J.L., Tsumoto, K.	2.4	X-RAY DIFFRACTION	0.230	0.192	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
5mvz	H	L	0	U	protein	NA	interleukin-1 beta	SIGNALING PROTEIN	01/17/17	Fab 4AB007 bound to Interleukin-1-beta	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Stark, W., Seibert, V.	2.15	X-RAY DIFFRACTION	0.281	0.219	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
5mvz	A	B	0	V	protein	NA	interleukin-1 beta	SIGNALING PROTEIN	01/17/17	Fab 4AB007 bound to Interleukin-1-beta	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Stark, W., Seibert, V.	2.15	X-RAY DIFFRACTION	0.281	0.219	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
4zso	D	C	0	F	protein	NA	natural cytotoxicity triggering receptor 3 ligand 1	IMMUNE SYSTEM	05/13/15	Crystal structure of a complex between B7-H6, a tumor cell ligand for natural cytotoxicity receptor NKp30, and an inhibitory antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Xu, X., Li, Y., Mariuzza, R.A.	2.5	X-RAY DIFFRACTION	0.257	0.226	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
4zso	B	A	0	E	protein	NA	natural cytotoxicity triggering receptor 3 ligand 1	IMMUNE SYSTEM	05/13/15	Crystal structure of a complex between B7-H6, a tumor cell ligand for natural cytotoxicity receptor NKp30, and an inhibitory antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Xu, X., Li, Y., Mariuzza, R.A.	2.5	X-RAY DIFFRACTION	0.257	0.226	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
5jr1	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/05/16	Crystal structure of 10E8 gHV-matureL antigen-binding fragment.	HOMO SAPIENS	homo sapiens	homo sapiens		Joyce, M.G., Mascola, J.R., Kwong, P.D.	1.601	X-RAY DIFFRACTION	0.201	0.185	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
3oay	H	L	0	H	Hapten	BDF	BETA-D-FRUCTOPYRANOSE	IMMUNE SYSTEM	08/05/10	A non-self sugar mimic of the HIV glycan shield shows enhanced antigenicity	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Doores, K.J., Fulton, Z., Hong, V., Patel, M.K., Scanlan, C.N., Wormald, M.R., Finn, M.G., Burton, D.R., Wilson, I.A., Davis, B.G	1.95	X-RAY DIFFRACTION	0.223	0.182	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
3oay	M	K	0	M	Hapten	BDF	BETA-D-FRUCTOPYRANOSE	IMMUNE SYSTEM	08/05/10	A non-self sugar mimic of the HIV glycan shield shows enhanced antigenicity	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Doores, K.J., Fulton, Z., Hong, V., Patel, M.K., Scanlan, C.N., Wormald, M.R., Finn, M.G., Burton, D.R., Wilson, I.A., Davis, B.G	1.95	X-RAY DIFFRACTION	0.223	0.182	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
